DUNS,VENDOR NAME,CONTRACT NUMBER/OFFER NUMBER,SIN,MANUFACTURER NAME,MFGPART,VENDPART,UPC-A,PRODNAME,PRODUCT DESCRIPTION,UOI,GREEN CERTIFICATION,RECYCLED AND/OR POST CONSUMER MATERIAL CONTENT %,COMMERCIAL LIST PRICE,MOST FAVORED CUSTOMER (MFC), DISCOUNT OFFERED TO MFC (%),MFC PRICE, GSA(%) DISCOUNT (exclusive of the .75% IFF),DISCOUNT PRICE OFFERED TO GSA (excluding IFF),PRICE,QUANTITY/VOLUME DISCOUNT,COO,"CDM SIN Only: Manage ""What is on the network?""","CDM SIN Only: Manage ""Who is on the network?""","CDM SIN Only: Manage ""How is the network protected?""","CDM SIN Only: Manage ""What is happening on the network?""",Emerging Tools and Technology,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-11.5EE,K-1018024-11.5EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-11D,K-1018024-11D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-11EE,K-1018024-11EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-12D,K-1018024-12D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-12EE,K-1018024-12EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-13D,K-1018024-13D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-13EE,K-1018024-13EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-14D,K-1018024-14D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-14EE,K-1018024-14EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-15D,K-1018024-15D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
